书名,作者,归属场景
The Price of Admission,Daniel Golden,study_abroad
The Professional Chef,CIA 美国厨艺学院,cooking_recipe
The Promise of Sleep,William C. Dement,sleep_health
The Prompt Engineering Handbook,—,prompt_engineering
The Psychology of Money,Morgan Housel,purchase_decision;rent_buy_house
The Pyramid Principle(金字塔原理),Barbara Minto,data_analytics;presentation_skills
The Richest Man in Babylon(巴比伦最富有的人),George S. Clason,tax_insurance
The Science of Cooking,Stuart Farrimond,cooking_recipe
The Sense of Style(写作风格的意识),Steven Pinker,contract_review;writing_polish
The Signal and the Noise(信号与噪声),纳特·西尔弗,data_analytics
The Sleep Solution,W. Chris Winter,sleep_health
The Story of Earth(地球的故事),罗伯特·黑曾,mining_extraction
The Tangled Web,Michal Zalewski,program_management
The Tipping Point(引爆点),Malcolm Gladwell,private_domain
The Vegetable Butcher,Cara Mangini,cooking_recipe
The Visual Display of Quantitative Information(定量信息的视觉显示),Edward Tufte,data_analytics;presentation_skills;ui_ux_review
The Wager(沉船·叛变与谋杀),David Grann,shipbuilding_marine
The Web Application Hacker's Handbook,Stuttard & Pinto,program_management
The Whole-Brain Child,Siegel & Bryson,child_education
The Willpower Instinct(自控力),Kelly McGonigal,time_productivity
The World Atlas of Wine(世界葡萄酒地图),Johnson & Robinson,dining_recommendation
Thinking in Bets(对赌),Annie Duke,contract_review
Thinking with Type,Ellen Lupton,ui_ux_review
"Thinking, Fast and Slow",Daniel Kahneman,career_transition
This Is Going to Hurt(疼痛难免),Adam Kay,family_doctor
This Is Marketing(这才是营销),Seth Godin,cross_border
Through the Language Glass,Guy Deutscher,language_learning
Tiny Habits(福格行为模型),B.J. Fogg,time_productivity
To Engineer Is Human,亨利·波卓斯基,machinery
To Sell Is Human,Daniel Pink,private_domain
Traction(增长引擎),Gabriel Weinberg,seo_growth;short_video;startup_advisory
Transport Phenomena,"Bird, Stewart, Lightfoot",chemical_industry
Travels with Charley(横越美国),John Steinbeck,travel_deep;travel_planning
Triumph of the City(城市的胜利),Edward Glaeser,rent_buy_house
Trustworthy Online Controlled Experiments,Kohavi 等,product_manager;seo_growth;short_video
UCP600 跟单信用证统一惯例,ICC,cross_border
USB/雷电接口标准,专著,digital_office
Understanding Comics(理解漫画·视觉叙事),Scott McCloud,short_video
Understanding Exposure,Bryan Peterson,photography
Unit Operations of Chemical Engineering,"McCabe, Smith, Harriott",chemical_industry
Universal Principles of Design(设计的法则),William Lidwell 等,ui_ux_review
User Story Mapping,Jeff Patton,product_manager
Vagabonding(慢旅行节奏),Rolf Potts,travel_deep;travel_planning
Vehicle Dynamics and Control,Rajesh Rajamani,automotive
Venture Deals(风投协议),Brad Feld & Jason Mendelson,startup_advisory
WCAG 2.x 无障碍指南,W3C,ui_ux_review
WELL 建筑标准,IWBI,construction_materials
WHO 国际旅行与健康指南,世界卫生组织,travel_deep;travel_planning
Web Analytics 2.0(流量的秘密),Avinash Kaushik,seo_growth
Web 性能权威指南,Ilya Grigorik,ui_ux_review
What Color Is Your Parachute?,Richard Bolles,resume_interview
Where You Go Is Not Who You'll Be,Frank Bruni,study_abroad
Who(招聘圣经),Geoff Smart,startup_advisory
Who: The A Method for Hiring,Smart & Street,resume_interview
Why Buildings Fall Down,Levy & Salvadori,construction_materials
Why Buildings Stand Up,Mario Salvadori,construction_materials
Why We Get Fat,加里·陶布斯,nutrition_fitness
Why We Sleep(我们为什么睡觉),Matthew Walker,family_doctor;time_productivity
Why Zebras Don't Get Ulcers(斑马为什么不得胃溃疡),Robert Sapolsky,sleep_health
Wills 矿物加工技术,Wills,mining_extraction
Wine Folly(葡萄酒入门),Madeline Puckette,dining_recommendation
Work Rules!(重新定义团队),Laszlo Bock,resume_interview
Working Effectively with Legacy Code,Michael Feathers,program_management
Woven Textile Structure,B.K. Behera,textiles
Writing Down the Bones(写出我心),Natalie Goldberg,writing_polish
Writing Tools,Roy Peter Clark,writing_polish
YC 创业指南(Startup School),Y Combinator,startup_advisory
You Don't Know JS (系列),Kyle Simpson,program_management
Your Money or Your Life,Domínguez & Robin,purchase_decision;tax_insurance
offer 对比与决策,—,resume_interview
slide:ology,Nancy Duarte,presentation_skills
xUnit Test Patterns,Gerard Meszaros,program_management
一万小时天才理论,丹尼尔·科伊尔,music_learning
一本小小的红色写作书,布兰登·罗伊尔,writing_polish
一看就懂穿搭术,—,fashion_styling
万物既伟大又渺小,吉米·哈利,pet_care
万物有灵且美,吉米·哈利(James Herriot),pet_care
三废处理工程技术,—,chemical_industry
上瘾 Hooked,尼尔·埃亚尔,startup_advisory
上瘾(Hooked),Nir Eyal,private_domain;product_manager
上瘾:让用户养成使用习惯的产品逻辑,Nir Eyal,product_manager
不动产登记暂行条例,国务院,rent_buy_house
不原谅也没关系,皮特·沃克,mental_wellness
不拘一格(奈飞文化手册),Hastings / Meyer,startup_advisory
不拘一格(奈飞文化手册)No Rules Rules,Reed Hastings / Erin Meyer,startup_advisory
与天为敌:风险探索传奇,彼得·伯恩斯坦,insurance_planning
专业化妆造型技法,—,skincare_beauty
专利侵权判定标准与司法解释,—,ip_patent
专利审查指南,国家知识产权局,ip_patent
专利检索与分析实务,—,ip_patent
专利法详解,尹新天,contract_review;ip_patent;legal_consulting
专利申请文件撰写实务,—,ip_patent
专利许可与转化实务,—,ip_patent
世界 50 佳餐厅榜单解读,The World's 50 Best,travel_deep;travel_planning
世界犬种图鉴 FCI/AKC,—,pet_care
世界猫种图鉴,—,pet_care
世界顶级摄影大师作品集,—,photography
个人信息保护法实务,专著,contract_review
个人信息保护法解读,—,private_domain
个人信贷与债务管理实务,—,family_finance
个人养老金制度政策(三支柱),国务院/人社部,tax_insurance
个人养老金制度政策解读,—,elder_care;family_finance
个人品牌/打造个人 IP,—,private_domain
个人品牌打造,—,resume_interview;short_video
个人商业模式,蒂莫西·克拉克,career_transition
个人形成论,卡尔·罗杰斯,mental_wellness
个人所得税专项附加扣除政策文件,国务院/税务总局,tax_insurance
个人所得税专项附加扣除政策解读,—,family_finance
个人所得税实务与筹划,注册税务师教材,tax_insurance
个人所得税法及实施条例,全国人大/国务院,tax_insurance
个人所得税法及实施条例释义,—,family_finance
个人理财,博迪/默顿,career_transition;family_finance
个人理财入门(指数基金常识),—,study_abroad
个人理财规划(CFP教材),—,insurance_planning;tax_insurance
个人理财规划指南,综合,wedding_planning
个保法/数据安全法解读,—,startup_advisory
中介套路拆解,—,rent_buy_house
中医基础理论/中医诊断学,院校教材,family_doctor
中华人民共和国专利法,—,ip_patent
中华人民共和国保险法,—,insurance_planning;tax_insurance
中华人民共和国信托法,全国人大,tax_insurance
中华人民共和国商标法及实施条例,—,ip_patent
中华人民共和国民法典,法律出版社,legal_consulting;tax_insurance
中华人民共和国社会保险法,全国人大,tax_insurance
中华人民共和国税收征收管理法,全国人大,tax_insurance
中华人民共和国药典(ChP),国家药典委,pharma_biomfg
中华影像医学(丛书),专著,family_doctor
中华饮食文化,专著,dining_recommendation
中国2型糖尿病防治指南,中华医学会,chronic_disease;health_checkup
中国书画鉴定学稿,杨仁恺,collectibles
中国制造2025与产业政策汇编,—,industrialization
中国历代政治得失,钱穆,writing_polish
中国古代书画图目,—,collectibles
中国哲学简史,冯友兰,debate_speech
中国围棋规则,—,board_game
中国居民膳食指南,中国营养学会,child_education;chronic_disease;cooking_recipe;dining_recommendation;health_checkup;nutrition_fitness
中国民俗学,钟敬文,dining_recommendation
中国汽车质量网投诉数据解读,—,car_purchase
中国烹饪史,专著,cooking_recipe
中国烹饪概论,专业教材,cooking_recipe;dining_recommendation
中国玉器通史,—,collectibles
中国白酒品鉴,专著,dining_recommendation
中国艺术品市场报告,—,collectibles
中国艺术品收藏鉴赏全书,—,collectibles
中国血脂管理指南,—,chronic_disease;health_checkup
中国陶瓷史,叶喆民,collectibles
中国青铜器,马承源,collectibles
中国食物,尤金·安德森,cooking_recipe;dining_recommendation
中国食物成分表,—,chronic_disease
中国高尿酸血症与痛风诊疗指南,—,chronic_disease
中国高血压防治指南,—,chronic_disease;health_checkup
中式婚礼习俗与流程(三书六礼),综合,wedding_planning
中式热菜烹调技术,专业教材,cooking_recipe
中餐二十四味型,专著,cooking_recipe
中餐宴席礼仪,专著,dining_recommendation
丰田生产方式,大野耐一,automotive;industrialization
临床前药理与毒理学,—,pharma_biomfg
临床心理学,Trull,mental_wellness
临床检验诊断学,专著,family_doctor;health_checkup
临床检验项目参考区间手册,—,health_checkup
临床用药须知,中国药典,chronic_disease
临床皮肤镜学,—,skincare_beauty
临床老年病学,—,elder_care
临床药理学,—,chronic_disease
临床营养学,—,chronic_disease;cooking_recipe;dining_recommendation;nutrition_fitness
临床运动医学,Brukner & Khan,family_doctor;fitness_plan;nutrition_fitness
临终关怀与哀伤辅导手册,—,elder_care
为什么精英都是时间控,桦泽紫苑,time_productivity
为何家会伤人,武志红,wedding_planning
为未知而教为未来而学,戴维·珀金斯,child_education
主持与引导技巧,—,board_game
主题婚礼创意案例集,综合,wedding_planning
乌合之众,古斯塔夫·勒庞,debate_speech;presentation_skills;private_domain
乐器声学原理,—,music_learning
九人:美国最高法院风云,杰弗里·图宾,legal_consulting
也许你该找个人聊聊,洛莉·戈特利布,career_transition
习惯的力量,查尔斯·都希格,fitness_plan;home_organize;language_learning;nutrition_fitness
乡下人的悲歌,J.D. 万斯,study_abroad
乡土中国,费孝通,modern_agriculture
乡村振兴战略规划读本,—,agriculture
书画作伪与鉴别,—,collectibles
书画装裱与修复,—,collectibles
买卖合同司法解释理解与适用,最高人民法院,contract_review
买手实务,—,fashion_styling
买车用车养车一本通,—,car_purchase
乳腺 BI-RADS 分级,—,health_checkup
事实核查手册,新闻业实务,writing_polish
事故车/泡水车/调表车识别,—,car_purchase
二手交易实战手册,—,purchase_decision
二手房交易法律实务,—,rent_buy_house
二手房议价实战,—,rent_buy_house
二手桌游交易避坑手册,—,board_game
二手车交易实务,—,car_purchase
二手车检测技术,—,car_purchase
二手车残值与保值率分析,—,car_purchase
二手车评估师培训教材,—,car_purchase
二手车金融与置换补贴,—,car_purchase
二手车鉴定与评估,—,car_purchase
二氧化碳捕集与利用,—,chemical_industry
互动游戏与团建活动手册,—,event_planning
互换性与技术测量,—,machinery
互换性与测量技术,—,aerospace
亚马逊广告精通,专著,cross_border
亚马逊运营实战,专著,cross_border
亚马逊选品实战,专著,cross_border
交强险条例解读,—,car_purchase
产业组织理论,泰勒尔,industrialization
产业经济学,—,career_transition;industrialization
产后抑郁识别与干预手册,—,parenting_baby
产品可靠性工程,—,purchase_decision
产品可靠性设计,专著,digital_office
产品认证(CCC/CE)实务,—,machinery
产品质量法实务,专著,digital_office;dispute_rights
亲密关系,罗兰·米勒,child_education;gift_selection;mental_wellness;wedding_planning
亲属法与继承法,杨大文,legal_consulting
人体工程学与室内尺度手册,—,home_organize;home_renovation
人体工程学与服装,—,fashion_styling
人体测量与体成分评估,—,fitness_plan
人像摄影圣经,—,photography
人月神话,Frederick Brooks,product_manager;program_management;startup_advisory
人月神话 The Mythical Man-Month,Frederick Brooks,startup_advisory
人机工学(显示器/键鼠/桌面),专著,digital_office
人格心理学,伯格,gift_selection
人生十八局,吴清源,board_game
人生的智慧,叔本华,elder_care
人身保险,教材,family_finance
人身保险条款解读手册,—,insurance_planning
人身保险核保医学手册,—,insurance_planning
人身保险精算原理,—,insurance_planning
人造板甲醛释放限量 GB18580,—,home_renovation
今日诊断与治疗(CMDT),CMDT,family_doctor;health_checkup
从0到1 Zero to One,彼得·蒂尔,industrialization;ip_patent;startup_advisory
从优秀到卓越,吉姆·柯林斯,_管理类共用书单
从出生到3岁,伯顿·怀特,child_education
仲裁法理论与实务,专著,contract_review
价值流图分析,—,automotive
价值评估(Valuation),McKinsey,startup_advisory;stock_trading
仿古工艺识别,—,collectibles
企业合规管理体系(ISO 37301),标准解读,contract_review
企业微信运营实战,—,private_domain
企业法律风险管理实务,专著,contract_review
企业知识产权管理规范 GB/T29490,—,ip_patent
企业集成模式(EIP),Hohpe & Woolf,program_management
企鹅分级读物 Penguin Readers,企鹅出版社,language_learning
伊登色彩论,约翰内斯·伊登,fashion_styling
众病之王:癌症传,悉达多·穆克吉,chronic_disease;family_doctor;health_checkup;pharma_biomfg
优势谈判,罗杰·道森,car_purchase;contract_review;dispute_rights
优秀的绵羊,威廉·德雷谢维奇,study_abroad
优雅地老去,大卫·斯诺登,elder_care
优雅地老去 Aging with Grace,大卫·斯诺登,elder_care
会员体系设计,—,private_domain
会展场馆经营管理,—,event_planning
会展策划与管理,教材,event_planning
会展财务管理,—,event_planning
会计学原理,—,agriculture
会议与活动策划专家,—,event_planning
传感器与检测技术,—,machinery
传感器融合,—,automotive
传热学,杨世铭,aerospace;chemical_industry
传质与分离技术,—,chemical_industry
伯恩斯新情绪疗法,戴维·伯恩斯,family_doctor;grad_civil_exam;mental_wellness;sleep_health
伯恩斯焦虑自助疗法,戴维·伯恩斯,sleep_health
伴手礼选品与预算指南,综合,wedding_planning
伺服系统与运动控制,—,machinery
低压配电设计规范 GB 50054,国标,construction_materials
住宅室内装饰装修工程质量验收规范,—,home_renovation
住宅设计解剖书,增田奏,home_organize;home_renovation
体型分析与版型,—,fashion_styling
体验经济,派恩/吉尔摩,event_planning
体验经济 The Experience Economy,派恩/吉尔摩,event_planning
作物栽培学,—,agriculture;modern_agriculture
作物栽培学各论,—,modern_agriculture
作物育种学,—,agriculture
作物育种学总论,张天真,modern_agriculture
你当像鸟飞往你的山(Educated),塔拉·韦斯特弗,study_abroad
你的N岁孩子(格塞尔系列),路易丝·埃姆斯,parenting_baby
你的猫(How to Speak Cat),National Geographic,pet_care
你的第一本保险指南,槽叔,insurance_planning
你的降落伞是什么颜色,博尔斯,career_transition
供应链管理,马丁·克里斯托弗,agriculture;automotive;cross_border;ecommerce_ops;industrialization
依恋三部曲·第一卷 依恋,约翰·鲍尔比,child_education
促销与价格锚定研究,专著,digital_office
保险原理与实务,高校教材,tax_insurance
保险学,魏华林/林宝清,car_purchase;family_finance;insurance_planning
保险常识100问,(保险100问系列),insurance_planning
保险法(注释本),—,car_purchase
保险消费者权益保护,—,car_purchase
保险理赔实务,—,insurance_planning
保险监管文件,国家金融监督管理总局,tax_insurance
保险纠纷典型案例与裁判规则,—,insurance_planning
信任代理(Trust Agents),Brogan & Smith,private_domain
信号与系统,—,aerospace
信息架构(北极熊书),Rosenfeld & Morville,product_manager
信息架构:超越 Web 设计,Rosenfeld/Morville,ui_ux_review
信息检索与文献引用规范(GB/T 7714),国标,writing_polish
信息检索导论,Manning 等,prompt_engineering
信息流广告投放实务,专著,ecommerce_ops
信用卡境外手续费与退税策略指南,综合,travel_planning
信用卡积分与里程兑换攻略,综合,travel_deep
修辞学,亚里士多德,debate_speech
债务危机,瑞·达利欧,stock_trading
债法总论,王利明,contract_review
健康保险实务,—,tax_insurance
健康告知与如实告知义务解读,—,insurance_planning
健康监测与可穿戴设备应用,—,chronic_disease
健康行为改变(动机访谈),—,chronic_disease
健身者解剖书,Frederic Delavier,fitness_plan
健身营养全书,冯·勒费尔霍尔茨,chronic_disease;fitness_plan
健身解剖学,—,nutrition_fitness
储能系统集成与应用,—,energy_power
储量估算与资源量分类,—,mining_extraction
催化原理,—,chemical_industry
儿科学,人卫教材,family_doctor;parenting_baby
儿童保健学,—,child_education
儿童发展心理学,劳拉·伯克,parenting_baby
儿童心理学,—,child_education
儿童意外伤害预防手册,—,parenting_baby
儿童睡眠医学指南,—,parenting_baby
儿童营养学,—,child_education;parenting_baby
儿童认知行为疗法(CBT)手册,—,child_education
儿童音乐教育(奥尔夫/铃木),—,child_education
元素周期王国,彼得·阿特金斯,mining_extraction
元素的盛宴,萨姆·基恩,chemical_industry;metallurgy
先进封装技术,—,electronics_semiconductor
光刻技术原理,Levinson,electronics_semiconductor
光刻胶化学与技术,—,electronics_semiconductor
克氏外科学,Sabiston,family_doctor
党政机关公文写作规范,国务院办公厅,writing_polish
全国12315平台操作实务,专著,dispute_rights
全然接受这样的我,塔拉·布莱克,mental_wellness
全球通史:从史前到21世纪,斯塔夫里阿诺斯,cross_border
全科医学概论,人卫教材,health_checkup
全脑教养法,丹尼尔·西格尔,parenting_baby
公共建筑节能设计标准 GB 50189,国标,construction_materials
公务员录用考试大纲,国家公务员局,grad_civil_exam
公务员面试结构化教材,主流机构,grad_civil_exam
公司法,施天涛,contract_review;legal_consulting;startup_advisory
公司法学,赵旭东,legal_consulting
公差与配合国家标准,GB,machinery
公积金贷款政策解读,—,rent_buy_house
共同基金常识,约翰·博格,family_finance
关键对话,科里·帕特森 等,_管理类共用书单;mental_wellness;presentation_skills
关键链,高德拉特,event_planning
养牛学,—,agriculture
养猪学,—,agriculture
养老机构服务质量基本规范(国标),GB/T 35796,elder_care
养老金精算与替代率测算,—,tax_insurance
养老金融,—,elder_care;family_finance
兽医临床病理学,—,pet_care
兽医临床诊断学,—,agriculture
兽医学概论,—,agriculture
兽医药理学,—,agriculture
内分泌学,—,chronic_disease
内在动机,德西/瑞安,child_education
内容营销(Content Inc.),Joe Pulizzi,seo_growth
内容营销实务,专著,cross_border
内燃机学,—,automotive;shipbuilding_marine
内科学,人卫教材,chronic_disease
再生金属与循环经济,—,metallurgy
写作是门手艺,刘军强,ecommerce_ops
写作这回事(On Writing),斯蒂芬·金,study_abroad;writing_polish
写给大家的西方音乐史,田艺苗,music_learning
写给大家看的设计书,Robin Williams,presentation_skills;ui_ux_review
农业产业化经营,—,agriculture
农业人工智能,—,modern_agriculture
农业保险学,—,agriculture
农业品牌营销,—,modern_agriculture
农业圣典(An Agricultural Testament),阿尔伯特·霍华德,modern_agriculture
农业大数据,—,agriculture;modern_agriculture
农业政策学,—,agriculture;modern_agriculture
农业无人机应用,—,agriculture
农业昆虫学,—,agriculture
农业机械化生产学,—,agriculture
农业机械学,—,agriculture;modern_agriculture
农业概论,—,modern_agriculture
农业气象学,—,agriculture
农业物联网,—,agriculture
农业物联网技术与应用,—,modern_agriculture
农业生产经济学,—,agriculture
农业生态学,—,agriculture;modern_agriculture
农业经济学,—,agriculture;modern_agriculture
农业航空与植保无人机技术,—,modern_agriculture
农业补贴政策,—,agriculture
农业财政与补贴政策解读,—,agriculture
农业遥感,—,agriculture
农业项目投资与评估,—,agriculture
农业风险管理,—,agriculture
农产品价格学,—,agriculture
农产品市场营销学,—,agriculture
农产品物流与供应链管理,—,modern_agriculture
农产品质量安全与溯源,—,modern_agriculture
农场经营管理,—,agriculture
农学概论,—,agriculture
农机液压传动,—,modern_agriculture
农村土地承包法解读,—,agriculture
农村金融政策,—,agriculture
农村集体经济组织,—,agriculture
农民专业合作社法解读,—,agriculture
农田水利学,—,agriculture
农药安全使用手册,—,gardening
冲压工艺与模具设计,—,automotive
决定性瞬间(画册),布列松,photography
决策与判断,斯科特·普劳斯,data_analytics
决策与规划算法,—,automotive
决策分析与风险,专著,dispute_rights
冶金传感器与检测,—,metallurgy
冶金原理,—,metallurgy
冶金固废资源化,—,metallurgy
冶金机械设备,—,metallurgy
冶金节能与环保,—,metallurgy
冶金设备维护与故障诊断,—,metallurgy
冶金过程自动化,—,metallurgy
冷轧薄板生产,—,metallurgy
冷链物流技术,—,modern_agriculture
出口管制与制裁合规,专著,cross_border
分子料理技法,专著,dining_recommendation
分子筛与多孔材料,—,chemical_industry
分离工程,刘家祺,chemical_industry
分离纯化技术,—,pharma_biomfg
分级诊疗制度读本,—,health_checkup
刑法学,张明楷,legal_consulting
刑法学讲义(第二版),罗翔,dispute_rights
创业维艰 The Hard Thing About Hard Things,本·霍洛维茨,startup_advisory
创作硬件需求(渲染/剪辑),专著,digital_office
创新者 The Innovators,沃尔特·艾萨克森,industrialization;ip_patent
创新者的窘境,克里斯坦森,career_transition;ecommerce_ops;generic_consulting;ip_patent;seo_growth;startup_advisory;stock_trading
创新者的窘境 The Innovator's Dilemma,克莱顿·克里斯坦森,generic_consulting
别毙了那条狗(Don't Shoot the Dog),凯伦·普莱尔,pet_care
制动系统设计,—,automotive
制药工程原理与设备,—,pharma_biomfg
刻意练习,艾利克森/普尔,career_transition;child_education;music_learning
刻意练习 Peak,安德斯·艾利克森,grad_civil_exam;learning_planning
剑桥插图音乐指南,斯坦利·萨迪,music_learning
剑桥雅思官方真题集(4-18),剑桥大学考试委员会,language_learning;learning_planning
剪映/Premiere/达芬奇 官方手册,厂商官方,short_video
剪辑的语法,Roy Thompson,short_video
力学性能试验,—,metallurgy
力量训练基础,马克·瑞比托,fitness_plan;nutrition_fitness
力量训练基础 Starting Strength,马克·瑞比托,fitness_plan;nutrition_fitness
力量训练计划,—,chronic_disease;fitness_plan
力量训练计划 Practical Programming,瑞比托,nutrition_fitness
功能安全ISO26262,—,automotive
功能性服装设计(防护/运动/医用),—,textiles
功能性食品学,—,food_processing
功能纤维与功能纺织品,—,textiles
功能高分子材料,—,chemical_industry
动力电池技术,—,automotive
动态血糖监测(CGM)解读,—,chronic_disease
动机式访谈,—,nutrition_fitness
动物生理学,—,agriculture
动物营养学,—,agriculture
动物解剖学,—,agriculture
动物遗传育种学,—,agriculture
助推,塞勒/桑斯坦,generic_consulting
助推 Nudge,塞勒/桑斯坦,gift_selection
劳动争议裁判规则与案例精解,—,legal_consulting
劳动合同法,王全兴,legal_consulting
劳动合同法实务(竞业限制),专著,contract_review
劳动法,林嘉,legal_consulting
劳动法与录用红线,—,resume_interview
劳动法学,郭捷,legal_consulting
化合物半导体器件,—,electronics_semiconductor
化妆品监管与广告合规科普,国家药监局,skincare_beauty
化妆品科学与技术(Harry's Cosmeticology),—,skincare_beauty
化妆品配方原理与应用,—,skincare_beauty
化学动力学基础,—,chemical_industry
化学反应工程,朱炳辰,chemical_industry
化学品分类和标签规范(GHS/GB30000),—,chemical_industry
化学工程手册,—,chemical_industry
化学成分分析,—,metallurgy
化工原理,谭天恩/陈敏恒,chemical_industry
化工安全工程,—,chemical_industry
化工流程模拟(Aspen Plus),—,chemical_industry
化工热力学,陈钟秀,chemical_industry
化工节能原理与技术,—,chemical_industry
化工设计,—,chemical_industry
化工过程分析与综合,—,chemical_industry
化工过程安全(CCPS),CCPS,chemical_industry
医学影像学,人卫教材,family_doctor;health_checkup
医学营养治疗(MNT),—,chronic_disease
医生的修炼 Complications,阿图·葛文德,health_checkup
医美项目临床共识与操作规范,行业共识,skincare_beauty
千面英雄,约瑟夫·坎贝尔,writing_polish
半导体产业概论,—,electronics_semiconductor
半导体制造技术,May & Spanos,electronics_semiconductor
半导体器件物理,Sze,digital_office;electronics_semiconductor
半导体材料学,—,electronics_semiconductor
半导体测试基础,—,electronics_semiconductor
半导体硅材料学,—,electronics_semiconductor
半导体设备技术,—,electronics_semiconductor
半导体量测与缺陷检测,—,electronics_semiconductor
华德福教育,斯坦纳,child_education
卓有成效的管理者,彼得·德鲁克,_管理类共用书单;time_productivity
单抗与重组蛋白生产,—,pharma_biomfg
博弈与决策,专著,dispute_rights
博弈论,弗登博格(Fudenberg),board_game
博弈论与经济行为,冯·诺依曼/摩根斯坦,board_game
博弈论基础,罗伯特·吉本斯,board_game;dispute_rights
博弈论教程,肯·宾默尔(谢识予 译),board_game
博物馆藏品管理,—,collectibles
卡普兰-萨多克精神病学,Kaplan & Sadock,family_doctor;mental_wellness
卡片笔记写作法,申克·阿伦斯,grad_civil_exam;learning_planning
卫生设计原理(EHEDG/3-A),—,food_processing
印染机械与设备,—,textiles
危机公关与舆情应对,专著,dispute_rights
危机干预策略,James & Gilliland,mental_wellness
危险化学品安全管理条例,—,chemical_industry
危险货物分类和品名编号(GB6944),—,chemical_industry
即兴的智慧,专著,debate_speech;presentation_skills
历年分数线与报录比汇编,—,grad_civil_exam
压力容器安全技术监察规程,—,chemical_industry;machinery
压力面试应对,—,resume_interview
压载水管理公约(BWM),IMO,shipbuilding_marine
原则,瑞·达利欧,career_transition;contract_review
原则 Principles,瑞·达利欧,stock_trading
原子习惯,詹姆斯·克利尔,mental_wellness;music_learning;nutrition_fitness;time_productivity
原料药工艺研究与开发,—,pharma_biomfg
厨房设备与器具手册,专著,cooking_recipe
厨房里的化学家,亚瑟,cooking_recipe
厨艺之钥(Keys to Good Cooking),哈洛德·马基,cooking_recipe
参与感,黎万强,private_domain
参数虚标与跑分作弊识别,专著,digital_office
双碳政策读本,—,industrialization
双碳目标与能源转型,—,energy_power
反不正当竞争法,法律出版社,contract_review;legal_consulting
反垄断法,法律出版社,contract_review
反应器设计与放大,—,chemical_industry
反洗钱(AML)与 KYC 合规,专著,cross_border
反洗钱法与反洗钱监管规定,全国人大/央行,tax_insurance
反脆弱,纳西姆·塔勒布,career_transition;generic_consulting
反脆弱 Antifragile,纳西姆·塔勒布,generic_consulting;stock_trading
发展心理学,林崇德,child_education
发展心理病理学,—,child_education
发育与行为儿科学,专著,family_doctor;parenting_baby
发酵工程,—,food_processing;pharma_biomfg
变态心理学,劳伦·阿洛伊,mental_wellness
古典吉他教程,卡尔卡西,music_learning
古典风格,查尔斯·罗森,music_learning
古典风格:海顿、莫扎特、贝多芬,查尔斯·罗森,music_learning
古玉鉴定,—,collectibles
古玩做旧与辨伪,—,collectibles
古玩行话与交易习惯,—,collectibles
古籍修复技艺,—,collectibles
古籍善本,陈先行,collectibles
另类资产配置,—,collectibles
可持续能源——事实与真相,David MacKay,energy_power
可持续能源——事实与真相 Sustainable Energy without the Hot Air,David MacKay,energy_power
可用性工程,Jakob Nielsen,product_manager;ui_ux_review
可穿戴设备与运动监测技术,—,nutrition_fitness
可见的学习,约翰·哈蒂,child_education
可视化分析与设计,Tamara Munzner,data_analytics
可靠性工程与失效分析,—,electronics_semiconductor
可靠性工程基础,—,aerospace;car_purchase;digital_office
史蒂夫·乔布斯传,沃尔特·艾萨克森,ip_patent
叶轮机械原理,—,aerospace
司仪主持与控场技巧,综合,wedding_planning
各区义务教育招生入学政策文件,各地教育局,learning_planning
各国外交部领事保护与安全提示,各国外交部,travel_deep;travel_planning
各国数据合规(GDPR/CCPA),专著,cross_border
各国毕业工签政策(OPT/Graduate Route/485),各国移民局,study_abroad
各国消费者行为差异,专著,cross_border
各国留学政策官方文件,各国教育/移民部门,study_abroad
各国签证官方指南(F-1/Student Route/500/SDS),各国使领馆,study_abroad
各国签证申请官方指南,各国使领馆,travel_planning
各国退税与汇率手续费指南,综合,travel_deep
各地彩礼与嫁妆习俗手册,综合,wedding_planning
合作的进化,罗伯特·艾克斯罗德,board_game
合同效力专题研究,专著,contract_review
合同效力研究,专著,contract_review
合同法,崔建远,contract_review;legal_consulting
合同法上的违约损害赔偿,专著,contract_review
合同法分则研究,崔建远,contract_review
合同法学,王利明,legal_consulting
合同法实务,—,startup_advisory
合同法总论,韩世远,contract_review;legal_consulting
合同法研究,王利明,legal_consulting
合同违约救济比较法研究,专著,contract_review
合成生物学导论,—,pharma_biomfg
合金钢,—,metallurgy
吉他构造与选购指南,—,music_learning
听肌肤的话,冰寒,skincare_beauty
启示录:打造用户喜爱的产品,Marty Cagan,product_manager
吴阶平泌尿外科学,吴阶平,family_doctor
周围神经病变,—,chronic_disease
周期化力量训练理论,Bompa,nutrition_fitness
周期化训练理论,Tudor Bompa,fitness_plan
和二木一起玩多肉,二木,gardening
和声学教程,斯波索宾,music_learning
和解协议实务,专著,dispute_rights
咖啡因(Caffeine),Michael Pollan,sleep_health
品牌农业,—,agriculture
品牌战略管理,—,agriculture
品牌的起源,艾·里斯,cross_border
哈农钢琴练指法,哈农,music_learning
哈里森内科学原理,Harrison's,chronic_disease;family_doctor;health_checkup
唱片中的西方音乐史,杨燕迪 等,music_learning
商业养老年金与万能险产品资料,各公司,tax_insurance
商业模式新生代,亚历山大·奥斯特瓦德,data_analytics;startup_advisory
商业模式新生代 Business Model Generation,奥斯特瓦德,startup_advisory
商业秘密法律保护实务,专著,contract_review
